x,g_hat,sigma2_hat,a_hat,b_hat
7.213726640440809,953.0056756432564,561.4731539850567,7.347452155702835,-314.9544192192047
7.329049350304905,911.0746575295415,561.9829002207912,6.929059274204736,-455.52067434501794
7.444372060169,872.3068218965823,565.2409404871936,6.432936921492308,-558.045546082105
7.559694770033095,846.873276792887,570.4635903991875,6.025126862668783,-586.4071442834535
7.675017479897191,841.0123656725024,575.9173169435476,5.823460734682746,-524.5325273938652
7.790340189761286,855.8325156258104,579.5526221282943,5.979448002508019,-380.78880074812656
7.905662899625382,887.5580724936376,579.8077237456288,6.469374959303872,-185.10699199138674
8.020985609489479,928.9850732816873,576.275741000711,7.095802928430843,20.028897687163358
8.136308319353574,971.5983106776257,569.9637101331875,7.611384692767093,191.7789449727773
8.25163102921767,1007.690478150068,563.0153893017414,7.872669683311112,298.55049370052643
8.366953739081765,1031.9268898342225,557.9710597590887,7.926471481085299,327.59980638527475
8.48227644894586,1042.0512138997376,556.8202509840706,7.944208951727966,286.63045072073425
8.597599158809956,1038.7238306155684,560.1956973009577,7.895654407176797,199.33754009074184
8.712921868674051,1024.7218942407578,567.0196228689264,7.716315547478228,96.70395177478598
8.828244578538147,1003.845258249496,574.756283222745,7.463306131750953,7.039249722071455
8.943567288402242,979.8579310629825,580.2037934738205,7.238792992609821,-52.07219749194587
9.058889998266338,955.692366797678,580.5560065911081,7.126527244218628,-77.57871844568767
9.174212708130435,933.0175220402352,574.3589421263367,7.129359793866268,-79.70486440431662
9.28953541799453,912.1748660662001,562.0184497787757,7.187233642494371,-76.48731929790938
9.404858127858626,892.4398977182934,545.6768155157479,7.255716376094574,-86.24981317045074
9.520180837722721,872.5539971428351,528.5068309197381,7.281425952707737,-120.67714253081269
9.635503547586817,851.4561783238571,513.6857098497743,7.267725462949288,-180.76680689561755
9.750826257450912,829.0971138903752,503.42660102541936,7.1308079477695925,-256.837632552802
9.866148967315008,807.1399760259799,498.4174686168056,6.8861078907463735,-332.3572177045965
9.981471677179103,789.2829649864153,497.85559713837046,6.588447897248754,-390.0927860215012
10.096794387043198,780.9376426109428,500.0325070427905,6.265532013035639,-418.3915707091363
10.212117096907296,788.1156860163777,503.2090323585961,6.125713941834333,-415.4512794699324
10.327439806771391,815.6196675757241,506.4082812169578,6.33442806133885,-390.1880984396327
10.442762516635486,864.941940028392,509.7908218063402,6.872615192117856,-359.4698514905822
10.558085226499582,932.5355712895469,514.4497241231878,7.697413872171664,-342.661619527352
10.673407936363677,1009.2021478256994,521.7067058997861,8.586632003604226,-355.25627949167165
10.788730646227773,1081.1524477283808,532.2084562863442,9.162139404818351,-403.59659456154634
10.904053356091868,1132.8372841647504,545.2252169917808,9.211979739166564,-482.3042302082844
11.019376065955964,1151.0294987144975,558.4952103024135,8.954291989289455,-575.1760068320872
11.134698775820059,1129.066992373103,568.7541012574692,8.572901691776865,-659.2782352615969
11.250021485684154,1069.8701085995372,572.8125958137443,7.998674696721039,-711.0808209061518
11.36534419554825,986.4934938669641,568.8038451169265,7.270654321311827,-712.9643478683516
11.480666905412345,899.5935115900176,557.1139678600126,6.539293122436107,-658.4073930715197
11.59598961527644,832.1442133659093,540.5855970558162,6.008619071935146,-554.5694039400576
11.711312325140536,802.7271680349698,523.8288642812402,5.908520483125136,-421.665721751931
11.826635035004632,819.4022084427903,511.80371945821327,6.361836686885669,-289.28009730014946
11.94195774486873,876.2484634847744,508.13138340898996,7.086554773160602,-190.39534321663206
12.057280454732826,954.0361625285611,513.7366513625527,7.729025677950079,-154.33462716180048
12.172603164596921,1025.2787452641392,526.351951306028,7.996311229538109,-199.96593194136221
12.287925874461017,1062.4741175070967,541.1402276163677,7.912468550855062,-330.4615400370868
12.403248584325112,1047.1477108124354,552.3046301265015,7.6147309419147415,-530.6753970659385
12.518571294189208,976.7980965478408,555.1838824258465,7.013380952469369,-767.8441538929047
12.633894004053303,867.2637887692915,548.1185704059451,6.106412909890824,-995.8493483661784
12.749216713917399,749.3233553613483,533.4019044709023,5.019264395793068,-1162.7069717127972
12.864539423781494,660.147882515114,516.9027771427765,4.087204338478746,-1220.308962043666
12.97986213364559,631.975154154744,506.3857086472021,3.835559035278366,-1134.8154228960705
13.095184843509685,681.4720657302156,509.006739119837,4.508976250402695,-895.6340740299481
13.21050755337378,803.2772153038247,528.7791070014257,5.696695967874305,-520.8047860593443
13.325830263237876,970.0857120718775,564.8624128191204,6.9203440832814485,-56.98426307269699
13.441152973101971,1139.6555816236998,611.3022851979322,7.913865348551401,426.85029526036965
13.556475682966067,1266.8892164014594,658.3997244674787,8.493902271482245,851.497334383387
13.671798392830162,1317.400778162158,695.3628055255688,8.56811930955471,1143.4231055426153
13.787121102694258,1278.3246636570084,713.461148466981,8.124595443614998,1251.163095586242
13.902443812558353,1162.8205578039779,708.7109141363073,7.228766290127543,1158.3188065467984
14.017766522422448,1006.6161589111241,683.2337945141657,6.080744542985139,889.5641450716945
14.133089232286544,857.4264127275254,644.8258947532494,4.93228416985479,507.4234023148119
14.248411942150643,760.3997968939727,604.8192950760415,4.217702322298576,99.71840933910009
14.363734652014738,744.1037296802879,574.8475151522994,4.400862532036502,-239.99444101490366
14.479057361878834,811.4990881773936,563.4689695330264,5.332640759178419,-434.6174758418023
14.594380071742929,938.8516891075569,573.6525347536677,6.4632749009523645,-442.8822621683093
14.709702781607024,1083.0441710872126,601.8728545284358,7.416895069694285,-270.75738201266796
14.82502549147112,1195.0754304191753,639.082590096412,7.982858566767249,28.511113314293947
14.940348201335215,1235.5338496408385,673.2749810499639,8.053333448453447,366.3456452991558
15.05567091119931,1187.1631959134381,692.89192670359,7.58128397223714,640.2560956458944
15.170993621063406,1060.5351753111263,690.1045880991261,6.57724388517191,759.5897488300169
15.286316330927502,891.0202450375748,663.054468563074,5.162120045544076,669.1030248128537
15.401639040791597,728.0085470240588,616.4626061158126,3.6102029775052933,364.17939526746426
15.516961750655692,619.7848493388226,560.4870025389449,2.631931540988226,-106.47088499423452
15.632284460519788,598.8159219003443,508.18918128635255,3.2605423825616753,-651.6019120383378
15.747607170383883,672.0368948353339,472.3228471729796,4.858254236514285,-1159.159217735335
15.862929880247979,819.0946292734805,462.2919592401954,6.510393495330314,-1523.483564134906
15.978252590112074,998.9620792439985,482.02321590046364,7.855714849296709,-1671.053312091811
16.09357529997617,1162.7077866854822,529.2090404971422,8.718009273997454,-1578.1883005835766
16.208898009840265,1268.3319524809058,595.9987333924329,8.984271223510712,-1276.2453517709457
16.32422071970436,1293.0457513688193,670.8580585503341,8.63463367630912,-843.1121115696815
16.439543429568456,1239.3087054564226,741.0717080101989,7.713450958491609,-383.3570138730247
16.554866139432555,1133.0064063810776,795.2764775391944,6.346603132155178,-2.2603203147852415
16.67018884929665,1014.650984905096,825.4835350359016,4.756688495413541,219.61786819495148
16.785511559160746,926.6076967788729,828.2330908184712,3.437519566748081,245.02273089566768
16.90083426902484,900.4342611858496,804.7598944389977,3.3806042930597,87.40216051312609
17.016156978888937,948.1682884277344,760.2694332216655,4.711912016330724,-194.22038172006626
17.131479688753032,1059.9586143600106,702.585892568363,6.493449251108987,-511.0371479431224
17.246802398617127,1208.330406596222,640.5123479673538,8.18823576707995,-766.5100696580417
17.362125108481223,1357.3102940548195,582.2433867625348,9.573761324012146,-879.0244043420685
17.47744781834532,1473.2711254262292,534.108327697826,10.548935702495251,-799.736021627385
17.592770528209414,1534.07578730738,499.82364101038996,11.077110948187277,-521.7976492316465
17.70809323807351,1533.9183010556512,480.3192235000911,11.182823043428002,-79.55086379114393
17.823415947937605,1482.8331001997346,474.0935728611223,10.940802944045071,461.20992116644675
